1279 256 256
144 62 -1 1
145 62 -1 1
146 62 -1 1
147 62 -1 1
148 62 -1 1
149 62 -1 1
144 63 -1 1
145 63 -1 1
146 63 -1 1
147 63 -1 1
148 63 -1 1
149 63 -1 1
150 63 -1 1
151 63 -1 1
152 63 -1 1
144 64 -1 1
145 64 -1 1
146 64 -1 1
147 64 -1 1
148 64 -1 1
149 64 -1 1
150 64 -1 1
151 64 -1 1
152 64 -1 1
153 64 -1 1
154 64 -1 1
147 65 -1 1
148 65 -1 1
149 65 -1 1
150 65 -1 1
151 65 -1 1
152 65 -1 1
153 65 -1 1
154 65 -1 1
155 65 -1 1
156 65 -1 1
157 65 -1 1
150 66 -1 1
151 66 -1 1
152 66 -1 1
153 66 -1 1
154 66 -1 1
155 66 -1 1
156 66 -1 1
157 66 -1 1
158 66 -1 1
152 67 -1 1
153 67 -1 1
154 67 -1 1
155 67 -1 1
156 67 -1 1
157 67 -1 1
158 67 -1 1
159 67 -1 1
160 67 -1 1
155 68 -1 1
156 68 -1 1
157 68 -1 1
158 68 -1 1
159 68 -1 1
160 68 -1 1
161 68 -1 1
157 69 -1 1
158 69 -1 1
159 69 -1 1
160 69 -1 1
161 69 -1 1
162 69 -1 1
159 70 -1 1
160 70 -1 1
161 70 -1 1
162 70 -1 1
163 70 -1 1
159 71 -1 1
160 71 -1 1
161 71 -1 1
162 71 -1 1
163 71 -1 1
164 71 -1 1
161 72 -1 1
162 72 -1 1
163 72 -1 1
164 72 -1 1
165 72 -1 1
162 73 -1 1
163 73 -1 1
164 73 -1 1
165 73 -1 1
166 73 -1 1
162 74 -1 1
163 74 -1 1
164 74 -1 1
165 74 -1 1
166 74 -1 1
164 75 -1 1
165 75 -1 1
166 75 -1 1
167 75 -1 1
164 76 -1 1
165 76 -1 1
166 76 -1 1
167 76 -1 1
168 76 -1 1
165 77 -1 1
166 77 -1 1
167 77 -1 1
168 77 -1 1
166 78 -1 1
167 78 -1 1
168 78 -1 1
169 78 -1 1
170 78 -1 1
166 79 -1 1
167 79 -1 1
168 79 -1 1
169 79 -1 1
170 79 -1 1
167 80 -1 1
168 80 -1 1
169 80 -1 1
170 80 -1 1
171 80 -1 1
168 81 -1 1
169 81 -1 1
170 81 -1 1
171 81 -1 1
169 82 -1 1
170 82 -1 1
171 82 -1 1
129 85 -1 2
130 85 -1 2
131 85 -1 2
129 86 -1 2
130 86 -1 2
131 86 -1 2
132 86 -1 2
129 87 -1 2
130 87 -1 2
131 87 -1 2
132 87 -1 2
133 87 -1 2
130 88 -1 2
131 88 -1 2
132 88 -1 2
133 88 -1 2
134 88 -1 2
130 89 -1 2
131 89 -1 2
132 89 -1 2
133 89 -1 2
134 89 -1 2
135 89 -1 2
132 90 -1 2
133 90 -1 2
134 90 -1 2
135 90 -1 2
136 90 -1 2
133 91 -1 2
134 91 -1 2
135 91 -1 2
136 91 -1 2
137 91 -1 2
133 92 -1 2
134 92 -1 2
135 92 -1 2
136 92 -1 2
137 92 -1 2
134 93 -1 2
135 93 -1 2
136 93 -1 2
137 93 -1 2
135 94 -1 2
136 94 -1 2
137 94 -1 2
136 97 -1 2
137 97 -1 2
138 97 -1 2
139 97 -1 2
140 97 -1 2
141 97 -1 2
142 97 -1 2
143 97 -1 2
144 97 -1 2
145 97 -1 2
146 97 -1 2
147 97 -1 2
148 97 -1 2
149 97 -1 2
150 97 -1 2
151 97 -1 2
152 97 -1 2
153 97 -1 2
154 97 -1 2
155 97 -1 2
156 97 -1 2
157 97 -1 2
158 97 -1 2
159 97 -1 2
131 98 -1 2
132 98 -1 2
133 98 -1 2
134 98 -1 2
135 98 -1 2
136 98 -1 2
137 98 -1 2
138 98 -1 2
139 98 -1 2
140 98 -1 2
141 98 -1 2
142 98 -1 2
143 98 -1 2
144 98 -1 2
145 98 -1 2
146 98 -1 2
147 98 -1 2
148 98 -1 2
149 98 -1 2
150 98 -1 2
151 98 -1 2
152 98 -1 2
153 98 -1 2
154 98 -1 2
155 98 -1 2
156 98 -1 2
157 98 -1 2
158 98 -1 2
159 98 -1 2
160 98 -1 2
161 98 -1 2
162 98 -1 2
163 98 -1 2
164 98 -1 2
165 98 -1 2
166 98 -1 2
167 98 -1 2
168 98 -1 2
169 98 -1 2
170 98 -1 2
131 99 -1 2
132 99 -1 2
133 99 -1 2
134 99 -1 2
135 99 -1 2
136 99 -1 2
137 99 -1 2
138 99 -1 2
139 99 -1 2
140 99 -1 2
141 99 -1 2
142 99 -1 2
143 99 -1 2
144 99 -1 2
145 99 -1 2
146 99 -1 2
147 99 -1 2
148 99 -1 2
149 99 -1 2
150 99 -1 2
151 99 -1 2
152 99 -1 2
153 99 -1 2
154 99 -1 2
155 99 -1 2
156 99 -1 2
157 99 -1 2
158 99 -1 2
159 99 -1 2
160 99 -1 2
161 99 -1 2
162 99 -1 2
163 99 -1 2
164 99 -1 2
165 99 -1 2
166 99 -1 2
167 99 -1 2
168 99 -1 2
169 99 -1 2
170 99 -1 2
131 100 -1 2
132 100 -1 2
133 100 -1 2
134 100 -1 2
135 100 -1 2
136 100 -1 2
137 100 -1 2
138 100 -1 2
158 100 -1 2
159 100 -1 2
160 100 -1 2
161 100 -1 2
162 100 -1 2
163 100 -1 2
164 100 -1 2
165 100 -1 2
166 100 -1 2
167 100 -1 2
168 100 -1 2
169 100 -1 2
170 100 -1 2
80 109 -1 1
81 109 -1 1
82 109 -1 1
139 109 -1 2
140 109 -1 2
141 109 -1 2
80 110 -1 1
81 110 -1 1
82 110 -1 1
139 110 -1 2
140 110 -1 2
141 110 -1 2
190 110 -1 1
191 110 -1 1
192 110 -1 1
80 111 -1 1
81 111 -1 1
82 111 -1 1
139 111 -1 2
140 111 -1 2
141 111 -1 2
190 111 -1 1
191 111 -1 1
192 111 -1 1
80 112 -1 1
81 112 -1 1
82 112 -1 1
83 112 -1 1
139 112 -1 2
140 112 -1 2
141 112 -1 2
190 112 -1 1
191 112 -1 1
192 112 -1 1
80 113 -1 1
81 113 -1 1
82 113 -1 1
83 113 -1 1
139 113 -1 2
140 113 -1 2
141 113 -1 2
190 113 -1 1
191 113 -1 1
192 113 -1 1
81 114 -1 1
82 114 -1 1
83 114 -1 1
139 114 -1 2
140 114 -1 2
